"","ratings","date","review_header","review","Topic"
"1",1,"September 11, 2017","rice pudding good, atmosphere offensive","they wont put it on their website or anything, but the decor and wording used to advertise their rice pudding is offensive, perverted and well the sort of jest and attitude that encourages hate in our society. though it is geared to make people either...more",3
"2",5,"September 7, 2017","novel, delicious rice pudding","we stumbled across this store. apart from the funny signs all over the store, which had us really chuckling, the rice pudding is delicious. one small is enough to feed three people. we had the plain with salted nuts and were so blown away by...more",2
"3",4,"September 5, 2017","anyone will like rice pudding after coming here","there was only one kind of rice pudding we had growing up -- milk and rice. after coming here, we couldn't stop telling our friends all about it. very creative concept with all the variety of flavors. they let you sample the flavors too. the...more",5
"4",5,"September 4, 2017","rice pudding heaven...","a lovely lady in macys recommended rice to riches when we said we were going to little italy - we were not disappointed. my daughter and i tasted lots of samples before settling on almond shmalmond and sex drugs and rocky road. absolutely delicious and...more",1
"5",3,"September 4, 2017","always return..","really enjoy the rice pudding but it seems their creativity has started to lack.. not many new flavours. thankful that my favs are there... sex, drugs and rocky road and hazelnut chocolate bear hug.",1
"6",4,"August 24, 2017","surprisingly delicious","what a unique dessert option in nyc! coming from alabama, we have the usual ice cream and yogurt shops, but this was something completely new! the flavor varieties were great and the rice pudding was delicious!",1
"7",5,"August 19, 2017","i don't even like rice pudding ","so as the review states i've never been a fan of rice pudding. that is until this trip! this place is great from all the funny signs to the food itself. make sure you try a lot before you make your decision! there samples are...more",2
"8",5,"August 15, 2017","great variety of flavours","such a cool place! loved the variety of flavours and it's concept. also located in a very cool neighborhood",1
"9",4,"August 13, 2017","a unique treat","if you're going to be in manhattan, rice to riches is a great way to enrich your trip with a little local flair! don't be afraid to try the fruit flavors, the more outrageous sounding the better the taste. downside? the staff is almost completely...more",1
"10",4,"August 12, 2017","fun place to come try the flavor of the day ","great fun place and dessert is. a good thing. the mango is great and they have specials where you can get several flavors to try. different sizes available and the container is reusable. a bit fattening but who cares, it is good",4
"11",4,"August 4, 2017","""our movie food tour""","""we seen this place in the hit movie ""hitch"", the romantic comedy staring will smith and kevin james! we know sooner or later we would make our way here, its definitely later! well worth the wait and the pudding, atmosphere and crazy sayings all over...more",5
"12",4,"July 31, 2017","cardinal sin","absolute indulgence. my daughter forced me to go there. she lives in nyc and it's one city where people hunt for good food and travel distances to eat. it's awesome. the varieties and flavors are pure heaven.
ofcourse new york has many attractions but this...more",1
"13",4,"July 12, 2017","i don't get it but it is delicious","i did not realize rice pudding was a new trendy sweet treat but honestly this place is so delicious! lots and lots of flavors. i really liked the dulce de leche thought it seems the flavors change up now and then which is nice. i...more",2
"14",5,"July 10, 2017","food and signs amazing","superb concept, the like of which we've not seen before.
if you kind of like rice pudding then you must try this. our daughters enjoyed the signs in the shop too - great sense of humour.",4
"15",5,"July 10, 2017","rice pudding galore!","if you like rice pudding, this is the place for you! so many flavours, so many toppings, so much fun! i would recommend getting several flavours if you can - it does keep well in the fridge for a couple of days if you can't...more",1
"16",4,"July 9, 2017","unique shop and delicious food","i did not think i was a fan of rice pudding but that's before i stopped here on a dessert tour. the cheesecake pudding is outstanding. i plan to go back and taste other flavors",5
"17",5,"July 3, 2017","wow!","i'm not a huge fan of rice pudding but their rice pudding was great. huge portions... good for 2-3 people. good service. would definitely go back.",4
"18",5,"June 8, 2017","omg!","i died and went to heaven when i walked in this place. i spent lots of time reading all the funny plaques and then checked out all the flavors they had to offer. you can even sample them! i settled for the butterscotch rice pudding...more",5
"19",5,"May 27, 2017","awesome","amazing dessert. don't worry about calories, just enjoy! oreo, banana coconut and hazelnut chocolate are my faves. been coming here for years, so good!",1
"20",5,"May 24, 2017","best rice pudding ever","normally i don't like rice pudding... but rice to riches one. simply delicious! and you can eat while reading the funny quotes all over the walls! oreogasm, tiramisu, french toast, vanilla, pecan butter... among many other flavors. we come here every time we are in...more",2
"21",4,"May 18, 2017","rice pudding heaven","this is the garden of eden of rice pudding lovers. different flavors for every palate and a very cool and beautiful store. i enjoyed it a lot....it is an culinary experience.....creative and original .....wow",5
"22",4,"May 17, 2017","a brilliant idea - healthy dessert rice with a multitude of flavour options","5 minutes walk from the contemporary art museum, this is a great idea, and very popular. healthy dessert rice dishes with a multitude of flavours which you can eat there or, as most people did, take away.
the decor is fresh, contemporary and fun.
very...more",1
"23",5,"May 17, 2017","amazing!!","i never expected to like rice pudding because it looked gross so when we stopped here years ago on a tour i was skeptical but wanted to take a sample to try it. omg. it was soooo good, my favorite flavor they don't make anymore...more",3
"24",5,"May 17, 2017","creamy, sweet comfort","after a day of sightseeing, what better way to end the day with a bowl of the creamiest and delicious rum raisin rice pudding. this place is so cool...the sayings that cover the walls are entertaining to read. atmosphere was casual and hip; very clean!...more",2
"25",5,"May 1, 2017","another nyc eatery for fun and food","so where else but nyc would you find a rice pudding restaurant with so many fun flavors to try? we actually came here twice because once wasn't enough to get it all in. if you like rice pudding, like my daughter does, it was great...more",4
"26",5,"April 16, 2017","i never miss this place","i go to nyc at least once yearly and never miss going to this place.i love their rice puddings and the variety is amazing . , they have little spoons for you to try various ones so that you can decide which one you prefer.",2
"27",5,"April 11, 2017","keeps me coming back for more!","i have been coming back to this place for years because it is always delicious and consistent. if this is your first time be sure to take your time and sample the plethora of rice puddings. they are very rich, creamy, and flavorful. i love...more",3
