Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1775.2396580440475
FDW14,OUT017,1752.3361023529237
NCN55,OUT010,1801.4098968810288
FDQ58,OUT017,1818.794937514073
FDY38,OUT027,1803.5070480965292
FDH56,OUT046,1779.9145644414357
FDL48,OUT018,1753.2527719924758
FDC48,OUT027,1779.8969118626903
FDN33,OUT045,1756.2465202886392
FDA36,OUT017,1820.780108073193
FDT44,OUT017,1790.1470731909126
FDQ56,OUT045,1751.26251703264
NCC54,OUT019,1799.151669829888
FDU11,OUT049,1788.5821330360393
DRL59,OUT013,1757.5782745575568
FDM24,OUT049,1799.9569577552375
FDI57,OUT045,1807.816528981005
DRC12,OUT018,1817.132092511424
NCM42,OUT027,1791.458860274446
FDA46,OUT010,1806.8782548631189
FDA31,OUT013,1814.40374078197
NCJ31,OUT035,1809.9516349876028
FDG52,OUT046,1717.514422832533
NCL19,OUT019,1798.3489216216863
FDS10,OUT035,1835.6641676536167
FDX22,OUT010,1797.538432390921
NCF19,OUT035,1705.8973113193756
NCE06,OUT046,1797.643889967027
DRC27,OUT046,1802.1159832375706
FDE21,OUT035,1787.823651732833
NCR42,OUT019,1770.6108954042645
FDX51,OUT018,1824.8263670793995
NCR06,OUT018,1735.911075023085
FDU31,OUT027,1794.246586920826
FDU59,OUT017,1806.919472200762
FDR03,OUT027,1796.0016416552446
FDS49,OUT027,1780.4017732465195
FDD48,OUT010,1769.512332781098
NCF18,OUT017,1829.0631903198826
NCD43,OUT027,1795.1956318575283
NCD54,OUT018,1792.2532697565193
FDY19,OUT010,1782.5408674300636
NCY54,OUT017,1825.8719468385034
NCL19,OUT018,1800.321073382992
FDP23,OUT010,1798.9446655974298
FDC26,OUT013,1790.6453382786208
FDR14,OUT010,1721.9480198135407
NCS41,OUT035,1842.2132734116492
FDF41,OUT035,1819.6893413068283
FDU34,OUT046,1788.4015085565975
DRH11,OUT046,1749.2131910898909
FDM03,OUT013,1789.654146498582
FDS31,OUT017,1837.3759131626937
FDJ20,OUT017,1793.2912045505013
