Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1864.0
FDW14,OUT017,1562.0
NCN55,OUT010,1870.0
FDQ58,OUT017,2582.0
FDY38,OUT027,5164.0
FDH56,OUT046,1944.0
FDL48,OUT018,596.0
FDC48,OUT027,2764.0
FDN33,OUT045,1502.0
FDA36,OUT017,3082.0
FDT44,OUT017,1990.0
FDQ56,OUT045,1306.0
NCC54,OUT019,1868.0
FDU11,OUT049,2064.0
DRL59,OUT013,888.0
FDM24,OUT049,2568.0
FDI57,OUT045,3086.0
DRC12,OUT018,2764.0
NCM42,OUT027,3180.0
FDA46,OUT010,1126.0
FDA31,OUT013,2790.0
NCJ31,OUT035,3876.0
FDG52,OUT046,824.0
NCL19,OUT019,380.0
FDS10,OUT035,3018.0
FDX22,OUT010,1450.0
NCF19,OUT035,918.0
NCE06,OUT046,2556.0
DRC27,OUT046,3880.0
FDE21,OUT035,2022.0
NCR42,OUT019,-1348.0
FDX51,OUT018,2866.0
NCR06,OUT018,424.0
FDU31,OUT027,4930.0
FDU59,OUT017,2706.0
FDR03,OUT027,4738.0
FDS49,OUT027,2738.0
FDD48,OUT010,-78.0
NCF18,OUT017,3116.0
NCD43,OUT027,3084.0
NCD54,OUT018,1992.0
FDY19,OUT010,-42.0
NCY54,OUT017,2808.0
NCL19,OUT018,2020.0
FDP23,OUT010,1526.0
FDC26,OUT013,1810.0
FDR14,OUT010,-1046.0
NCS41,OUT035,3026.0
FDF41,OUT035,4042.0
FDU34,OUT046,2024.0
DRH11,OUT046,952.0
FDM03,OUT013,1726.0
FDS31,OUT017,3022.0
FDJ20,OUT017,2094.0
FDV44,OUT027,4474.0
FDG02,OUT049,3120.0
FDA09,OUT013,2898.0
FDT04,OUT013,666.0
FDL58,OUT019,2300.0
FDE52,OUT045,1442.0
FDW12,OUT035,2498.0
FDL51,OUT017,3550.0
NCY42,OUT027,3676.0
FDR07,OUT017,1662.0
FDN40,OUT045,2358.0
FDB35,OUT027,2938.0
FDA22,OUT017,2734.0
NCL06,OUT046,4140.0
FDI35,OUT013,2906.0
NCW42,OUT045,3414.0
NCX06,OUT049,2960.0
FDC37,OUT027,3184.0
FDZ14,OUT018,1728.0
DRG49,OUT049,3972.0
NCG06,OUT045,3962.0
DRC36,OUT045,2726.0
FDV21,OUT019,64.0
