Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1881.1986360069336
FDW14,OUT017,1603.2622734891756
NCN55,OUT010,1837.7571633209789
FDQ58,OUT017,2572.5130985160795
FDY38,OUT027,5081.4784104175305
FDH56,OUT046,1932.6824161813408
FDL48,OUT018,675.9430398502142
FDC48,OUT027,2801.1398252150134
FDN33,OUT045,1540.832511745334
FDA36,OUT017,3046.9062259814195
FDT44,OUT017,2005.7328372762358
FDQ56,OUT045,1352.4357029822684
NCC54,OUT019,1811.8524638214412
FDU11,OUT049,2067.298436785735
DRL59,OUT013,958.2018104187429
FDM24,OUT049,2545.956850199931
FDI57,OUT045,3049.623055707077
DRC12,OUT018,2728.392344612717
NCM42,OUT027,3191.4128974160917
FDA46,OUT010,1127.595731572316
FDA31,OUT013,2777.149997665033
NCJ31,OUT035,3796.8026399188625
FDG52,OUT046,864.73029838446
NCL19,OUT019,399.95627028141246
FDS10,OUT035,2992.0920173464765
FDX22,OUT010,1445.561531277768
NCF19,OUT035,989.2561233688051
NCE06,OUT046,2509.4078208607257
DRC27,OUT046,3759.098893111935
FDE21,OUT035,2043.555382500429
NCR42,OUT019,-1246.0054398022717
FDX51,OUT018,2836.634895672754
NCR06,OUT018,512.565069982231
FDU31,OUT027,4863.6642526554515
FDU59,OUT017,2685.331082465818
FDR03,OUT027,4682.011781186602
FDS49,OUT027,2772.6458575066204
FDD48,OUT010,-11.474378704594528
NCF18,OUT017,3073.7428354433227
NCD43,OUT027,3102.2744138951844
NCD54,OUT018,2003.5338736069898
FDY19,OUT010,24.077917448864582
NCY54,OUT017,2776.2713868776646
NCL19,OUT018,2027.9012038226715
FDP23,OUT010,1513.7276399327463
FDC26,OUT013,1842.6180335091576
FDR14,OUT010,-942.324305133241
NCS41,OUT035,2993.3369104292574
FDF41,OUT035,3961.5459883717504
FDU34,OUT046,2005.9391789126478
DRH11,OUT046,973.3630011263263
FDM03,OUT013,1762.7164319905605
FDS31,OUT017,2990.6403460265897
FDJ20,OUT017,2106.712669567549
FDV44,OUT027,4428.930939333812
FDG02,OUT049,3076.514554569045
FDA09,OUT013,2877.817167035803
FDT04,OUT013,756.4494468209786
FDL58,OUT019,2229.18151476761
FDE52,OUT045,1485.728389842857
FDW12,OUT035,2498.2359752334423
FDL51,OUT017,3494.273272806563
NCY42,OUT027,3664.1221616327316
FDR07,OUT017,1695.0337875196433
FDN40,OUT045,2354.7900926164366
FDB35,OUT027,2966.0799313465254
FDA22,OUT017,2712.2510713385523
NCL06,OUT046,4015.4276254616643
FDI35,OUT013,2891.020549828624
NCW42,OUT045,3357.1185567665084
NCX06,OUT049,2918.538265699916
FDC37,OUT027,3199.5453044252076
FDZ14,OUT018,1753.9689447512396
DRG49,OUT049,3871.2363439943083
NCG06,OUT045,3877.8652489143906
DRC36,OUT045,2694.6154959309947
FDV21,OUT019,91.6595523339962
FDB53,OUT046,2337.980649651188
DRP47,OUT019,1972.5280704263364
FDA14,OUT013,2350.0748670357953
DRC24,OUT035,2554.627450923938
FDW21,OUT018,1443.4614265954042
NCH29,OUT046,1577.4996740388658
FDU58,OUT013,3043.1225919320377
FDY27,OUT017,2902.276620664104
FDV56,OUT035,1974.686278492805
FDT59,OUT046,3587.0833641125027
FDB23,OUT046,3556.4364049274136
FDR49,OUT045,763.2583054657305
FDB03,OUT010,1868.7680613863238
FDN39,OUT045,2602.526592370918
FDX02,OUT027,4895.343737275751
FDQ16,OUT027,3191.9451531332393
FDU35,OUT018,1365.1308647150195
NCT29,OUT013,1978.8325667570577
FDZ27,OUT046,883.2886638402086
FDN57,OUT017,2347.066308935334
FDA03,OUT018,2101.047364554915
FDZ36,OUT045,2890.0944275329625
NCU05,OUT013,1373.207533090324
FDT39,OUT018,2190.5587406420705
FDK60,OUT017,1735.377970202666
FDZ25,OUT017,2821.903845422587
FDG12,OUT046,2022.0079566655834
DRB01,OUT019,1098.2693668413417
NCC43,OUT027,5260.507803270793
FDX13,OUT019,1985.7485581364672
FDM22,OUT049,1098.3236977993956
FDJ03,OUT027,2348.9947371426374
FDU14,OUT018,3607.129333155526
FDB33,OUT010,664.271184507458
FDP27,OUT046,2964.9341280091344
FDO38,OUT010,-583.3176107404952
FDE28,OUT027,5044.734204140286
FDO27,OUT035,1723.7882093378537
DRL23,OUT027,3163.9487299986163
FDS28,OUT046,1020.6300635882865
FDX24,OUT013,1583.5752425938283
FDZ02,OUT035,1779.2207849717304
FDL46,OUT045,1837.6371063939011
FDS60,OUT027,4246.140585650082
NCO06,OUT017,711.8907557498084
FDO16,OUT035,1571.3733425598282
FDC60,OUT049,1583.4825074558769
FDA48,OUT018,3144.494576779316
FDZ36,OUT027,4386.103142132886
FDK27,OUT045,1903.8633270852695
FDW23,OUT018,465.76682417299105
FDM14,OUT018,1543.5711862353787
FDM14,OUT013,1817.175139855069
FDW60,OUT018,2583.7980848182783
FDE21,OUT013,1935.9930928431058
NCM42,OUT035,1904.9482588352114
FDY59,OUT010,-309.84552063588103
DRI49,OUT049,1411.1546503659436
FDT28,OUT019,537.2042904797796
FDQ22,OUT018,494.54865042586493
FDR60,OUT049,1380.3894194496268
FDC50,OUT019,-336.7532688590992
