Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1690.2340862385324
FDW14,OUT017,1481.8506141732287
NCN55,OUT010,584.7577647727271
FDQ58,OUT017,2649.1102324324333
FDY38,OUT027,6280.890879999997
FDH56,OUT046,1922.1493817142857
FDL48,OUT018,713.8586545454546
FDC48,OUT027,2517.8820884848496
FDN33,OUT045,1559.342975268817
FDA36,OUT017,2752.9709346534646
FDT44,OUT017,1922.1493817142857
FDQ56,OUT045,1481.8506141732287
NCC54,OUT019,584.7577647727271
FDU11,OUT049,2142.743570940171
DRL59,OUT013,713.8586545454546
FDM24,OUT049,2286.4132673684203
FDI57,OUT045,3130.0049049504946
DRC12,OUT018,2893.8398258992797
NCM42,OUT027,3242.0620715328478
FDA46,OUT010,482.6995426229506
FDA31,OUT013,2851.63169587629
NCJ31,OUT035,3737.2957751824815
FDG52,OUT046,798.217603539823
NCL19,OUT019,281.48208181818165
FDS10,OUT035,3384.108064242422
FDX22,OUT010,584.7577647727271
NCF19,OUT035,798.217603539823
NCE06,OUT046,2503.501336448599
DRC27,OUT046,4109.900606217614
FDE21,OUT035,1922.1493817142857
NCR42,OUT019,92.67548155339804
FDX51,OUT018,2893.8398258992797
NCR06,OUT018,507.0464036697247
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2503.501336448599
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.8820884848496
FDD48,OUT010,281.48208181818165
NCF18,OUT017,2939.348476190476
NCD43,OUT027,2517.8820884848496
NCD54,OUT018,1752.2524400000002
FDY19,OUT010,281.48208181818165
NCY54,OUT017,2851.63169587629
NCL19,OUT018,2232.8470218487396
FDP23,OUT010,584.7577647727271
FDC26,OUT013,1511.8747716981131
FDR14,OUT010,165.91858165137623
NCS41,OUT035,3384.108064242422
FDF41,OUT035,3737.2957751824815
FDU34,OUT046,1987.2510486486474
DRH11,OUT046,935.032388304093
FDM03,OUT013,1511.8747716981131
FDS31,OUT017,3384.108064242422
FDJ20,OUT017,2142.743570940171
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2752.9709346534646
FDA09,OUT013,2851.63169587629
FDT04,OUT013,507.0464036697247
FDL58,OUT019,584.7577647727271
FDE52,OUT045,1424.5946902777775
FDW12,OUT035,2286.4132673684203
FDL51,OUT017,3753.0000993630556
NCY42,OUT027,3242.0620715328478
FDR07,OUT017,1559.342975268817
FDN40,OUT045,2286.4132673684203
FDB35,OUT027,2517.8820884848496
FDA22,OUT017,2286.4132673684203
NCL06,OUT046,4034.30030689655
FDI35,OUT013,3384.108064242422
NCW42,OUT045,3753.0000993630556
NCX06,OUT049,2568.332833644861
FDC37,OUT027,2517.8820884848496
FDZ14,OUT018,1752.2524400000002
DRG49,OUT049,3454.062559154928
NCG06,OUT045,4034.30030689655
DRC36,OUT045,2851.63169587629
FDV21,OUT019,281.48208181818165
FDB53,OUT046,2660.9504030303037
DRP47,OUT019,584.7577647727271
FDA14,OUT013,2660.9504030303037
DRC24,OUT035,2660.9504030303037
FDW21,OUT018,1372.6884907407414
NCH29,OUT046,1559.342975268817
FDU58,OUT013,2893.8398258992797
FDY27,OUT017,2851.63169587629
FDV56,OUT035,1784.4287381818183
FDT59,OUT046,4109.900606217614
FDB23,OUT046,3753.0000993630556
FDR49,OUT045,798.217603539823
FDB03,OUT010,584.7577647727271
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5329.314724444444
FDQ16,OUT027,2517.8820884848496
FDU35,OUT018,1372.6884907407414
NCT29,OUT013,1987.2510486486474
FDZ27,OUT046,798.217603539823
FDN57,OUT017,2309.2007980000003
FDA03,OUT018,2232.8470218487396
FDZ36,OUT045,3384.108064242422
NCU05,OUT013,1243.0689297709916
FDT39,OUT018,2232.8470218487396
FDK60,OUT017,1559.342975268817
FDZ25,OUT017,2894.220710714287
FDG12,OUT046,2243.6695967213113
DRB01,OUT019,482.6995426229506
NCC43,OUT027,6280.890879999997
FDX13,OUT019,584.7577647727271
FDM22,OUT049,796.6402682539684
FDJ03,OUT027,1378.263185276074
FDU14,OUT018,3327.9525829268296
FDB33,OUT010,346.8972837209303
FDP27,OUT046,3391.591252727273
FDO38,OUT010,165.91858165137623
FDE28,OUT027,6280.890879999997
FDO27,OUT035,1559.342975268817
DRL23,OUT027,2517.8820884848496
FDS28,OUT046,935.032388304093
FDX24,OUT013,1481.8506141732287
FDZ02,OUT035,1559.342975268817
FDL46,OUT045,1827.832845454545
FDS60,OUT027,5329.314724444444
NCO06,OUT017,583.8145788617885
FDO16,OUT035,1481.8506141732287
FDC60,OUT049,1259.54905131579
FDA48,OUT018,3327.9525829268296
FDZ36,OUT027,5329.314724444444
FDK27,OUT045,1827.832845454545
FDW23,OUT018,507.0464036697247
FDM14,OUT018,1372.6884907407414
FDM14,OUT013,1690.2340862385324
FDW60,OUT018,2851.63169587629
FDE21,OUT013,1922.1493817142857
NCM42,OUT035,1879.0540499999997
FDY59,OUT010,219.21852093023256
DRI49,OUT049,1259.54905131579
FDT28,OUT019,346.8972837209303
FDQ22,OUT018,507.0464036697247
FDR60,OUT049,1259.54905131579
FDC50,OUT019,219.21852093023256
FDV24,OUT013,2503.501336448599
DRF48,OUT010,482.6995426229506
FDQ47,OUT046,583.8145788617885
DRN36,OUT049,1559.342975268817
NCY06,OUT035,1987.2510486486474
FDE52,OUT035,1424.5946902777775
NCB54,OUT045,1827.832845454545
NCF31,OUT035,2286.4132673684203
FDJ08,OUT027,5329.314724444444
NCC07,OUT017,1690.2340862385324
NCD19,OUT027,1378.263185276074
FDL46,OUT049,1987.2510486486474
FDM20,OUT045,4109.900606217614
NCI06,OUT010,425.9355914529917
DRM11,OUT035,4433.304032653062
NCH07,OUT018,2232.8470218487396
FDS23,OUT013,2142.743570940171
FDO49,OUT018,713.8586545454546
FDS35,OUT049,1103.1862133333332
DRK39,OUT045,1481.8506141732287
DRI39,OUT049,796.6402682539684
FDV04,OUT017,2503.501336448599
NCN14,OUT035,3384.108064242422
FDH08,OUT013,4109.900606217614
FDS20,OUT046,3384.108064242422
FDV40,OUT049,1103.1862133333332
FDZ48,OUT010,281.48208181818165
FDS24,OUT027,2517.8820884848496
FDK44,OUT049,2568.332833644861
FDS48,OUT045,2660.9504030303037
FDK26,OUT010,482.6995426229506
FDD23,OUT045,3391.591252727273
NCH54,OUT017,2894.220710714287
NCP14,OUT010,219.21852093023256
FDM60,OUT010,92.67548155339804
FDV24,OUT017,2503.501336448599
FDH08,OUT018,3327.9525829268296
FDS12,OUT027,3242.0620715328478
FDR39,OUT027,5329.314724444444
FDP12,OUT027,1378.263185276074
DRF60,OUT027,6280.890879999997
FDC09,OUT035,1784.4287381818183
FDF50,OUT018,2893.8398258992797
FDG28,OUT035,4109.900606217614
NCE19,OUT017,935.032388304093
NCM53,OUT010,281.48208181818165
NCN18,OUT049,1511.8747716981131
FDF32,OUT035,3130.0049049504946
FDF11,OUT013,4109.900606217614
DRI59,OUT049,3753.0000993630556
NCG54,OUT035,2894.220710714287
FDM44,OUT046,1690.2340862385324
FDT57,OUT018,3327.9525829268296
FDV24,OUT046,2503.501336448599
FDI50,OUT019,584.7577647727271
FDS09,OUT035,713.8586545454546
NCC31,OUT027,4117.317712631577
FDQ07,OUT019,584.7577647727271
FDC22,OUT017,3391.591252727273
FDZ56,OUT046,2894.220710714287
FDZ40,OUT019,165.91858165137623
FDS46,OUT027,3242.0620715328478
DRD24,OUT045,1827.832845454545
FDV45,OUT017,2939.348476190476
FDL26,OUT045,2894.220710714287
FDA56,OUT018,1752.2524400000002
FDN27,OUT046,1922.1493817142857
FDM20,OUT049,4109.900606217614
FDO16,OUT017,1481.8506141732287
FDL03,OUT035,3130.0049049504946
FDE58,OUT046,1922.1493817142857
FDI02,OUT027,3242.0620715328478
NCC55,OUT019,92.67548155339804
FDR03,OUT018,3327.9525829268296
FDB14,OUT017,1424.5946902777775
FDR45,OUT013,4109.900606217614
NCN07,OUT017,2243.6695967213113
FDM51,OUT019,219.21852093023256
FDT52,OUT027,6280.890879999997
FDL26,OUT046,2660.9504030303037
NCZ42,OUT046,4109.900606217614
DRI47,OUT019,346.8972837209303
FDW40,OUT013,2309.2007980000003
FDN34,OUT046,2894.220710714287
FDS01,OUT035,2851.63169587629
NCG55,OUT045,1827.832845454545
FDC11,OUT035,1424.5946902777775
FDX35,OUT018,3327.9525829268296
NCB06,OUT046,2894.220710714287
FDR09,OUT019,584.7577647727271
FDC53,OUT017,1559.342975268817
FDY45,OUT013,4433.304032653062
FDA22,OUT010,425.9355914529917
FDE02,OUT035,1559.342975268817
FDW21,OUT045,1879.0540499999997
FDV34,OUT046,1103.1862133333332
FDS59,OUT049,1784.4287381818183
NCW17,OUT017,2243.6695967213113
NCK54,OUT046,1922.1493817142857
FDG17,OUT019,584.7577647727271
FDG35,OUT017,3104.189829906542
FDD08,OUT010,92.67548155339804
NCO07,OUT017,3753.0000993630556
FDJ10,OUT010,281.48208181818165
FDW36,OUT017,1511.8747716981131
FDW21,OUT010,219.21852093023256
FDY19,OUT017,1922.1493817142857
DRE03,OUT013,798.217603539823
NCC55,OUT049,677.1027476190474
FDH52,OUT010,165.91858165137623
FDO09,OUT017,4034.30030689655
FDU43,OUT045,4109.900606217614
FDX09,OUT010,425.9355914529917
FDH40,OUT019,219.21852093023256
FDW58,OUT017,1690.2340862385324
FDC47,OUT017,3737.2957751824815
NCR41,OUT035,1559.342975268817
DRG49,OUT035,3737.2957751824815
FDC52,OUT027,4117.317712631577
FDY13,OUT046,1103.1862133333332
FDY35,OUT013,507.0464036697247
FDI35,OUT017,3384.108064242422
NCU18,OUT049,2309.2007980000003
FDY33,OUT018,2232.8470218487396
FDC15,OUT027,4117.317712631577
FDU01,OUT049,2752.9709346534646
NCU42,OUT046,2649.1102324324333
NCV29,OUT018,2851.63169587629
NCY30,OUT017,3384.108064242422
FDQ46,OUT049,1879.0540499999997
FDG58,OUT027,4117.317712631577
FDK33,OUT017,3753.0000993630556
NCD07,OUT045,1827.832845454545
NCX29,OUT027,4117.317712631577
NCT42,OUT013,2649.1102324324333
DRN59,OUT035,798.217603539823
FDI44,OUT035,1243.0689297709916
FDA45,OUT049,2568.332833644861
FDP31,OUT045,1103.1862133333332
FDY01,OUT046,1922.1493817142857
FDT09,OUT018,1752.2524400000002
DRH03,OUT027,2517.8820884848496
FDA36,OUT018,2752.9709346534646
NCF31,OUT017,2286.4132673684203
FDG14,OUT049,2286.4132673684203
FDG28,OUT027,6280.890879999997
FDU14,OUT049,4433.304032653062
FDY47,OUT019,281.48208181818165
FDI56,OUT049,1259.54905131579
DRD01,OUT013,796.6402682539684
FDM22,OUT046,935.032388304093
FDH33,OUT013,507.0464036697247
DRZ24,OUT013,1922.1493817142857
NCQ38,OUT046,1690.2340862385324
FDO16,OUT027,2517.8820884848496
FDU07,OUT027,4117.317712631577
NCB07,OUT013,2893.8398258992797
FDU48,OUT045,1827.832845454545
NCM43,OUT045,2894.220710714287
FDR31,OUT010,346.8972837209303
DRK49,OUT018,507.0464036697247
NCI30,OUT010,584.7577647727271
DRD60,OUT017,3384.108064242422
NCG19,OUT046,3454.062559154928
FDH12,OUT035,1511.8747716981131
FDM32,OUT035,1424.5946902777775
FDM27,OUT035,2894.220710714287
NCU53,OUT027,4117.317712631577
NCQ18,OUT046,1559.342975268817
FDS10,OUT013,2568.332833644861
FDB33,OUT027,4117.317712631577
FDI12,OUT013,1424.5946902777775
NCW42,OUT013,3753.0000993630556
NCC06,OUT018,1752.2524400000002
FDW02,OUT017,1987.2510486486474
NCD43,OUT017,1690.2340862385324
FDM57,OUT018,1259.54905131579
FDA58,OUT017,3737.2957751824815
FDK56,OUT046,3384.108064242422
FDP52,OUT045,4109.900606217614
FDW20,OUT018,1752.2524400000002
FDS52,OUT049,1690.2340862385324
NCT29,OUT018,1752.2524400000002
NCL54,OUT013,2851.63169587629
FDC05,OUT045,3130.0049049504946
FDF34,OUT035,2752.9709346534646
FDP03,OUT027,3242.0620715328478
FDD32,OUT010,219.21852093023256
FDZ10,OUT045,1827.832845454545
FDZ40,OUT035,935.032388304093
FDD51,OUT018,507.0464036697247
NCY30,OUT019,425.9355914529917
FDP58,OUT017,3737.2957751824815
FDV49,OUT017,4433.304032653062
FDY24,OUT019,165.91858165137623
NCO55,OUT017,1511.8747716981131
FDR13,OUT017,1922.1493817142857
FDS51,OUT017,935.032388304093
FDP26,OUT045,1879.0540499999997
NCB54,OUT027,3242.0620715328478
FDF32,OUT017,3130.0049049504946
FDN31,OUT018,2893.8398258992797
DRM48,OUT017,583.8145788617885
FDN20,OUT049,2453.7477006993004
DRL01,OUT046,3454.062559154928
FDV56,OUT049,1784.4287381818183
DRH13,OUT027,2517.8820884848496
FDA03,OUT017,2453.7477006993004
FDF47,OUT027,5329.314724444444
FDX32,OUT046,2660.9504030303037
FDX57,OUT049,1559.342975268817
NCA30,OUT045,2939.348476190476
FDO49,OUT013,713.8586545454546
FDL04,OUT019,219.21852093023256
DRM48,OUT035,583.8145788617885
FDR16,OUT013,3454.062559154928
