Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1580.1732994314164
FDW14,OUT017,1457.3834109442416
NCN55,OUT010,569.7270306367249
FDQ58,OUT017,2511.8777394166113
FDY38,OUT027,5854.052257904472
FDH56,OUT046,1942.8286862838008
FDL48,OUT018,740.1789498620478
FDC48,OUT027,2216.6670875374234
FDN33,OUT045,1524.112638452695
FDA36,OUT017,3064.095427022865
FDT44,OUT017,1956.2735122751283
FDQ56,OUT045,1442.1595232246336
NCC54,OUT019,569.8647931585356
FDU11,OUT049,1996.7326913355232
DRL59,OUT013,841.9338357007459
FDM24,OUT049,2496.78044362694
FDI57,OUT045,3089.0077698735677
DRC12,OUT018,3064.095427022865
NCM42,OUT027,2897.8416871452855
FDA46,OUT010,517.5389520175055
FDA31,OUT013,2837.0211213974794
NCJ31,OUT035,3857.190137654581
FDG52,OUT046,740.8674543865184
NCL19,OUT019,286.8887149766557
FDS10,OUT035,3016.6056846807915
FDX22,OUT010,564.4022346342566
NCF19,OUT035,739.1723955551369
NCE06,OUT046,2556.579291987774
DRC27,OUT046,3910.120040464826
FDE21,OUT035,1942.8286862838008
NCR42,OUT019,130.42433424826666
FDX51,OUT018,3064.095427022865
NCR06,OUT018,664.9877852722367
FDU31,OUT027,5854.052257904472
FDU59,OUT017,2558.4680560992324
FDR03,OUT027,5851.022794871953
FDS49,OUT027,2120.5610905545723
FDD48,OUT010,269.080196008724
NCF18,OUT017,3061.933803741064
NCD43,OUT027,2854.587170694641
NCD54,OUT018,2119.080616780745
FDY19,OUT010,269.54051035086906
NCY54,OUT017,2834.436491960215
NCL19,OUT018,2492.99742665807
FDP23,OUT010,566.7497439270581
FDC26,OUT013,1704.0770431817907
FDR14,OUT010,130.42433424826666
NCS41,OUT035,3064.095427022865
FDF41,OUT035,3919.4183929146325
FDU34,OUT046,2010.5217380431877
DRH11,OUT046,959.7249993991957
FDM03,OUT013,1580.1732994314164
FDS31,OUT017,3025.5603224271467
FDJ20,OUT017,1996.7326913355232
FDV44,OUT027,5150.98497006899
FDG02,OUT049,3064.095427022865
FDA09,OUT013,2971.14738025376
FDT04,OUT013,706.3709720289946
FDL58,OUT019,568.1525695757493
FDE52,OUT045,1495.8628542236922
FDW12,OUT035,2489.3201959824087
FDL51,OUT017,3673.327642732959
NCY42,OUT027,3010.1295508494345
FDR07,OUT017,1525.7466449871615
FDN40,OUT045,2502.7016906651315
FDB35,OUT027,2745.076165310753
FDA22,OUT017,2558.4680560992324
