Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1645.7825124042847
FDW14,OUT017,1364.7496635770972
NCN55,OUT010,574.8555263405234
FDQ58,OUT017,2467.894287414044
FDY38,OUT027,5862.851334945594
FDH56,OUT046,1949.9019520360264
FDL48,OUT018,758.8661090161268
FDC48,OUT027,2196.127012262936
FDN33,OUT045,1527.2665584172605
FDA36,OUT017,3103.3042466672464
FDT44,OUT017,1920.7010844493539
FDQ56,OUT045,1362.2628181265477
NCC54,OUT019,574.880658455942
FDU11,OUT049,2025.2968180885414
DRL59,OUT013,870.1809078851423
FDM24,OUT049,2451.5458113543546
FDI57,OUT045,3029.1965605551463
DRC12,OUT018,2932.625938708135
NCM42,OUT027,2913.029175360495
FDA46,OUT010,506.0657562867717
FDA31,OUT013,2856.478026591323
NCJ31,OUT035,3878.394820737029
FDG52,OUT046,789.9184831760464
NCL19,OUT019,288.61853831507216
FDS10,OUT035,3000.015997196357
FDX22,OUT010,567.1088209010408
NCF19,OUT035,757.1302490316007
NCE06,OUT046,2547.638450769969
DRC27,OUT046,3948.239817989828
FDE21,OUT035,1949.3112831621388
NCR42,OUT019,130.96688777431092
FDX51,OUT018,2988.8411741186983
NCR06,OUT018,613.4913211551175
FDU31,OUT027,5862.851334945594
FDU59,OUT017,2540.7997854334176
FDR03,OUT027,5857.681865988826
FDS49,OUT027,2093.717668685241
FDD48,OUT010,270.5646694524835
NCF18,OUT017,3024.753975824182
NCD43,OUT027,2860.6785636721575
NCD54,OUT018,2094.171808808377
FDY19,OUT010,270.6977860170418
NCY54,OUT017,2865.891836323985
NCL19,OUT018,2423.214759461282
FDP23,OUT010,572.0384901445716
FDC26,OUT013,1728.847620328699
FDR14,OUT010,130.96688777431092
NCS41,OUT035,3119.683858134628
FDF41,OUT035,3917.2241599304957
FDU34,OUT046,2053.612481852339
DRH11,OUT046,971.1053047298007
FDM03,OUT013,1646.5580957400807
FDS31,OUT017,3088.2841668483757
FDJ20,OUT017,1993.6036694484606
FDV44,OUT027,5121.33790886006
FDG02,OUT049,3125.4631366145722
FDA09,OUT013,2997.967224838779
FDT04,OUT013,703.1991326077971
FDL58,OUT019,573.7102321745015
FDE52,OUT045,1384.0603636951207
FDW12,OUT035,2476.8568139940235
FDL51,OUT017,3699.280552353974
NCY42,OUT027,3028.1025507220365
FDR07,OUT017,1541.4629412898128
FDN40,OUT045,2466.7465041979963
FDB35,OUT027,2682.657432841357
FDA22,OUT017,2543.545336068289
NCL06,OUT046,4149.89962370742
FDI35,OUT013,3076.4127982843324
NCW42,OUT045,3764.6542945547462
NCX06,OUT049,3013.2787901124525
FDC37,OUT027,2889.4825357035575
FDZ14,OUT018,1945.3235907579285
DRG49,OUT049,3909.3094287029035
NCG06,OUT045,4115.03156329527
DRC36,OUT045,2878.802147537669
FDV21,OUT019,280.49956347463865
FDB53,OUT046,2505.3682870296752
DRP47,OUT019,574.0820396062505
FDA14,OUT013,2454.8024480245417
DRC24,OUT035,2533.2868763210754
FDW21,OUT018,1613.7005840547668
NCH29,OUT046,1543.7484372512315
FDU58,OUT013,3095.428149666883
FDY27,OUT017,2901.620508322658
FDV56,OUT035,1660.1939179088038
FDT59,OUT046,3825.428477589295
FDB23,OUT046,3768.6357965293205
FDR49,OUT045,757.1269582655883
FDB03,OUT010,575.1876941401044
FDN39,OUT045,2622.764281436689
FDX02,OUT027,5862.851334945594
FDQ16,OUT027,2887.3299916273413
FDU35,OUT018,1553.7347686674393
NCT29,OUT013,2015.1406517263633
FDZ27,OUT046,790.2198647457006
FDN57,OUT017,2030.9114161059888
FDA03,OUT018,2422.950861881927
FDZ36,OUT045,3116.0828704143637
NCU05,OUT013,1407.4319715064046
FDT39,OUT018,2381.3110967494254
FDK60,OUT017,1542.7802108327442
FDZ25,OUT017,2817.8832184319053
FDG12,OUT046,2081.420651371294
DRB01,OUT019,504.06040989045016
NCC43,OUT027,5862.851334945594
FDX13,OUT019,572.0263801084075
FDM22,OUT049,867.1004982311711
FDJ03,OUT027,1092.3326449733324
FDU14,OUT018,3798.4138073392223
FDB33,OUT010,378.2564777858193
FDP27,OUT046,3124.4958758240978
FDO38,OUT010,159.85546291608134
FDE28,OUT027,5862.851334945594
FDO27,OUT035,1525.3807299518944
DRL23,OUT027,2882.672292668063
FDS28,OUT046,970.4580670202636
FDX24,OUT013,1478.1278796957079
FDZ02,OUT035,1539.2351425959353
FDL46,OUT045,1911.0343029924425
FDS60,OUT027,4763.332742812255
NCO06,OUT017,591.498135646591
FDO16,OUT035,1355.6664662811247
FDC60,OUT049,1361.721935341384
FDA48,OUT018,3415.157461791013
FDZ36,OUT027,5110.846366532042
FDK27,OUT045,2033.4482444468242
FDW23,OUT018,606.0486766177883
FDM14,OUT018,1686.031015749982
FDM14,OUT013,1648.5538139535743
FDW60,OUT018,2819.690419899886
FDE21,OUT013,1967.7148663921896
NCM42,OUT035,1662.072769235071
FDY59,OUT010,228.8441247236378
DRI49,OUT049,1317.783334692357
FDT28,OUT019,364.44268620336027
FDQ22,OUT018,606.5310336747647
FDR60,OUT049,1278.4483237122204
FDC50,OUT019,234.5180114242795
FDV24,OUT013,2410.0303562278395
DRF48,OUT010,487.8144965670368
FDQ47,OUT046,637.4892961490326
DRN36,OUT049,1534.9378846946863
NCY06,OUT035,2014.7292847647034
FDE52,OUT035,1383.1337816780306
NCB54,OUT045,2006.5736662793777
NCF31,OUT035,2489.972143689383
FDJ08,OUT027,5144.2888336551105
NCC07,OUT017,1648.909386818555
NCD19,OUT027,1258.7740833504247
FDL46,OUT049,1976.2021925383076
FDM20,OUT045,3980.235517973666
NCI06,OUT010,444.90234399398685
DRM11,OUT035,4223.618398758529
NCH07,OUT018,2482.839397707728
FDS23,OUT013,2041.133321214227
FDO49,OUT018,757.8195301673554
FDS35,OUT049,1068.6344137320016
DRK39,OUT045,1341.3962515706496
DRI39,OUT049,899.5308208918021
FDV04,OUT017,2519.461179365317
NCN14,OUT035,3037.825709735197
FDH08,OUT013,3766.928569795884
FDS20,OUT046,3144.1806882113665
FDV40,OUT049,1146.9830884361165
FDZ48,OUT010,258.9321956404951
FDS24,OUT027,2528.517441583028
FDK44,OUT049,2861.311031646555
FDS48,OUT045,2519.268531200794
FDK26,OUT010,489.0075844674547
FDD23,OUT045,3098.8438391965883
NCH54,OUT017,2592.3047279397388
NCP14,OUT010,242.28958592044816
FDM60,OUT010,130.96688777431092
FDV24,OUT017,2447.246830248415
FDH08,OUT018,3527.824921907188
FDS12,OUT027,3005.0012661125015
FDR39,OUT027,4827.188958280905
FDP12,OUT027,1009.6145123951791
DRF60,OUT027,5862.851334945594
FDC09,OUT035,1649.1101420574541
FDF50,OUT018,3007.6097724730075
FDG28,OUT035,3986.534769814887
NCE19,OUT017,872.21569413503
NCM53,OUT010,251.81621334624015
NCN18,OUT049,1718.8003951894427
FDF32,OUT035,3118.533483241864
FDF11,OUT013,3904.1917768847857
DRI59,OUT049,3726.326670447851
NCG54,OUT035,2809.9424384182284
FDM44,OUT046,1640.3298704199935
FDT57,OUT018,3595.094383391107
FDV24,OUT046,2453.153455334758
FDI50,OUT019,572.8249989580988
FDS09,OUT035,770.9104997554963
NCC31,OUT027,4091.770495807736
FDQ07,OUT019,574.880658455942
FDC22,OUT017,3113.8708224077973
FDZ56,OUT046,2807.992004672655
FDZ40,OUT019,130.96688777431092
FDS46,OUT027,2939.2653296075987
DRD24,OUT045,2061.518015467486
FDV45,OUT017,3080.1297401443876
FDL26,OUT045,2532.8766986801497
FDA56,OUT018,1989.1038146651188
FDN27,OUT046,1971.8226199953033
FDM20,OUT049,3921.0444363625925
FDO16,OUT017,1339.2024526870096
FDL03,OUT035,2994.112242247061
FDE58,OUT046,1956.3342193881117
FDI02,OUT027,2926.3031220538
NCC55,OUT019,130.96688777431092
FDR03,OUT018,3207.787843545078
FDB14,OUT017,1460.6584082158029
FDR45,OUT013,3910.900598432811
NCN07,OUT017,2032.6546415182802
FDM51,OUT019,246.6104725120068
FDT52,OUT027,5862.851334945594
FDL26,OUT046,2509.307644935845
NCZ42,OUT046,3937.5045507275763
DRI47,OUT019,363.0387461633591
FDW40,OUT013,2075.128776654588
FDN34,OUT046,2798.452098198329
FDS01,OUT035,2946.9075110613317
NCG55,OUT045,1915.4253443692467
FDC11,OUT035,1359.205386438013
FDX35,OUT018,3483.319051989281
NCB06,OUT046,2587.95683768849
FDR09,OUT019,574.0820396062505
FDC53,OUT017,1540.746751365924
FDY45,OUT013,4156.626431431976
FDA22,OUT010,385.1787448605539
FDE02,OUT035,1523.591129018765
FDW21,OUT045,1633.9708320797085
FDV34,OUT046,1180.1357041537403
FDS59,OUT049,1656.413292212711
NCW17,OUT017,2056.333378675226
NCK54,OUT046,1965.5600138913203
FDG17,OUT019,572.8249989580988
FDG35,OUT017,2870.196410175244
FDD08,OUT010,130.96688777431092
NCO07,OUT017,3683.49721896432
FDJ10,OUT010,282.5336491039473
FDW36,OUT017,1647.46706106067
FDW21,OUT010,240.68681098701083
FDY19,OUT017,1919.2280920567207
DRE03,OUT013,826.1457158513579
NCC55,OUT049,648.0588937128991
FDH52,OUT010,134.68079843681247
FDO09,OUT017,4054.102766109809
FDU43,OUT045,3961.8062152771477
FDX09,OUT010,423.3782931513743
FDH40,OUT019,199.0291399211442
FDW58,OUT017,1646.513892414637
FDC47,OUT017,3794.285759582612
NCR41,OUT035,1508.14412983896
DRG49,OUT035,3976.9757425840107
FDC52,OUT027,4069.9540444106656
FDY13,OUT046,1187.9189702745264
FDY35,OUT013,720.6330112964819
FDI35,OUT017,3113.160282315855
NCU18,OUT049,2094.0410474388673
FDY33,OUT018,2494.207068762372
FDC15,OUT027,4175.488253653199
FDU01,OUT049,3041.287571960439
NCU42,OUT046,2817.036297871187
NCV29,OUT018,2823.500019176456
NCY30,OUT017,3024.159881863998
FDQ46,OUT049,1729.2083296294277
FDG58,OUT027,4088.7592822162815
FDK33,OUT017,3688.1066431059944
NCD07,OUT045,1896.4382039096838
NCX29,OUT027,4010.5793277190214
NCT42,OUT013,2413.7354132427536
DRN59,OUT035,752.5245282997406
FDI44,OUT035,1285.4936540506433
FDA45,OUT049,2849.6336764936636
FDP31,OUT045,1063.7880782003529
FDY01,OUT046,1938.6611545845285
FDT09,OUT018,2026.3469007872322
DRH03,OUT027,2825.162852180076
FDA36,OUT018,3015.488650160401
NCF31,OUT017,2465.1018391984703
FDG14,OUT049,2460.4805393891743
FDG28,OUT027,5862.851334945594
FDU14,OUT049,4082.335339301798
FDY47,OUT019,285.10764272400957
FDI56,OUT049,1377.1093475586492
DRD01,OUT013,1023.4437072340744
FDM22,OUT046,966.7654252283855
FDH33,OUT013,709.141266489194
DRZ24,OUT013,1941.508944689106
NCQ38,OUT046,1649.1226358475396
FDO16,OUT027,2348.2656601693748
FDU07,OUT027,4045.436232348048
NCB07,OUT013,2993.470105218074
FDU48,OUT045,2029.2155340549864
NCM43,OUT045,2662.263527816059
FDR31,OUT010,362.4381657127786
DRK49,OUT018,607.9437045119429
NCI30,OUT010,574.8555263405234
DRD60,OUT017,3075.9378767839326
NCG19,OUT046,3801.957895421435
FDH12,OUT035,1648.4660565886243
FDM32,OUT035,1448.9504516167553
FDM27,OUT035,2547.4013409541612
NCU53,OUT027,4258.246090263074
NCQ18,OUT046,1569.0220946050204
FDS10,OUT013,2909.3414945337504
FDB33,OUT027,4175.488253653199
FDI12,OUT013,1427.0340340798189
NCW42,OUT013,3648.599734702235
NCC06,OUT018,2013.4810220777279
FDW02,OUT017,2009.2407465768606
NCD43,OUT017,1648.606245694422
FDM57,OUT018,1340.8740736126044
FDA58,OUT017,3825.098561727005
FDK56,OUT046,3134.560501767547
FDP52,OUT045,3882.28354230753
FDW20,OUT018,1998.5828064512825
FDS52,OUT049,1615.2898712020242
NCT29,OUT018,1934.214921310351
NCL54,OUT013,2880.507449966788
FDC05,OUT045,3083.0438971598105
