Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1817.8468736694742
FDW14,OUT017,1533.2444337417876
NCN55,OUT010,1910.8722347976525
FDQ58,OUT017,2549.972688716181
FDY38,OUT027,5140.299044597952
FDH56,OUT046,1941.1172398332917
FDL48,OUT018,630.5177161433595
FDC48,OUT027,2757.758664129053
FDN33,OUT045,1540.2203289131064
FDA36,OUT017,3041.3147326202534
FDT44,OUT017,1980.291397268682
FDQ56,OUT045,1353.8617053598593
NCC54,OUT019,1886.7292800857256
FDU11,OUT049,2036.1753272562958
DRL59,OUT013,906.0789780541141
FDM24,OUT049,2516.421360709354
FDI57,OUT045,3103.440316765525
DRC12,OUT018,2784.9377119818096
NCM42,OUT027,3188.5602516828626
FDA46,OUT010,1175.5368490553594
FDA31,OUT013,2806.1292390142166
NCJ31,OUT035,3881.163581679608
FDG52,OUT046,843.8830089807852
NCL19,OUT019,382.88666133214315
FDS10,OUT035,2986.348651016989
FDX22,OUT010,1454.3296077067764
NCF19,OUT035,925.4642441976978
NCE06,OUT046,2583.906343152742
DRC27,OUT046,3868.877771173219
FDE21,OUT035,1998.073637259576
NCR42,OUT019,-1317.8929481572393
FDX51,OUT018,2865.1895350179216
NCR06,OUT018,478.35202983427104
FDU31,OUT027,4891.098017471953
FDU59,OUT017,2687.9578084785458
FDR03,OUT027,4696.962242183305
FDS49,OUT027,2743.8847933649254
FDD48,OUT010,-45.029875212653764
NCF18,OUT017,3108.4026644424493
NCD43,OUT027,3092.1875744965487
NCD54,OUT018,2032.8798719783417
FDY19,OUT010,-5.4645165674365614
NCY54,OUT017,2823.386505397408
NCL19,OUT018,2056.1755790443262
FDP23,OUT010,1544.5456891375381
FDC26,OUT013,1837.4233557749071
FDR14,OUT010,-953.6339654975682
NCS41,OUT035,3014.676551269655
FDF41,OUT035,4020.214383166861
FDU34,OUT046,2032.3083262424022
DRH11,OUT046,977.2789392558386
FDM03,OUT013,1752.9306125237974
