Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1624.748551661971
FDW14,OUT017,1334.8176127774766
NCN55,OUT010,594.0060662162159
FDQ58,OUT017,2525.57014270269
FDY38,OUT027,5993.591152772808
FDH56,OUT046,2010.2027731121723
FDL48,OUT018,1033.9741671777397
FDC48,OUT027,1713.784567810354
FDN33,OUT045,1502.7870311224485
FDA36,OUT017,3498.755582573929
FDT44,OUT017,2010.2027731121723
FDQ56,OUT045,1333.9436256040415
NCC54,OUT019,594.0060662162159
FDU11,OUT049,2127.303659688196
DRL59,OUT013,1033.9741671777397
FDM24,OUT049,2494.400966463874
FDI57,OUT045,3498.755582573929
DRC12,OUT018,3467.309946126004
NCM42,OUT027,2198.4937933333335
FDA46,OUT010,536.6043518292679
FDA31,OUT013,3181.9325368932036
NCJ31,OUT035,3829.7747819412943
FDG52,OUT046,1033.9741671777397
NCL19,OUT019,359.0505420195438
FDS10,OUT035,3386.1427532267094
FDX22,OUT010,560.7381050505045
NCF19,OUT035,1033.9741671777397
NCE06,OUT046,2678.5046643262403
DRC27,OUT046,3845.626310967221
FDE21,OUT035,2010.2027731121723
NCR42,OUT019,740.3205897222226
FDX51,OUT018,3467.309946126004
NCR06,OUT018,1033.9741671777397
FDU31,OUT027,5664.919773614769
FDU59,OUT017,2678.5046643262403
FDR03,OUT027,5603.23990846774
FDS49,OUT027,1713.784567810354
FDD48,OUT010,358.68989781931504
NCF18,OUT017,3498.755582573929
NCD43,OUT027,2176.608684984025
NCD54,OUT018,2214.9121938284475
FDY19,OUT010,358.68989781931504
NCY54,OUT017,3181.9325368932036
NCL19,OUT018,2492.459229421223
FDP23,OUT010,567.124841081081
FDC26,OUT013,1996.967885080504
FDR14,OUT010,740.3205897222226
NCS41,OUT035,3498.755582573929
FDF41,OUT035,3829.7747819412943
FDU34,OUT046,2181.025967660909
DRH11,OUT046,1033.9741671777397
FDM03,OUT013,1624.748551661971
FDS31,OUT017,3386.1427532267094
FDJ20,OUT017,2127.303659688196
FDV44,OUT027,5294.360404878042
