Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1873.330006731414
FDW14,OUT017,1500.2024210373047
NCN55,OUT010,2161.0346670702306
FDQ58,OUT017,2518.4429483097933
FDY38,OUT027,4969.247177492301
FDH56,OUT046,1807.2547604540437
FDL48,OUT018,632.9028805558805
FDC48,OUT027,2554.1664966177996
FDN33,OUT045,1534.7244692390443
FDA36,OUT017,3014.6324878899995
FDT44,OUT017,1943.309113712823
FDQ56,OUT045,1337.9826152788162
NCC54,OUT019,2167.090285911341
FDU11,OUT049,2096.2244902395923
DRL59,OUT013,920.9253858225577
FDM24,OUT049,2589.248361776561
FDI57,OUT045,3102.9911826792436
DRC12,OUT018,2792.6898069082977
NCM42,OUT027,2972.9124506520748
FDA46,OUT010,1436.370403404485
FDA31,OUT013,2848.7070795822087
NCJ31,OUT035,3847.1807836989155
FDG52,OUT046,690.5666927149161
NCL19,OUT019,647.0357105397152
FDS10,OUT035,2958.6025897525
FDX22,OUT010,1725.0556531304778
NCF19,OUT035,861.2801716044091
NCE06,OUT046,2432.006572398963
DRC27,OUT046,3738.0919078230936
FDE21,OUT035,1961.0431377457808
NCR42,OUT019,-1069.4645526882978
FDX51,OUT018,2889.7815965106433
NCR06,OUT018,453.963877053087
FDU31,OUT027,4716.812985156413
FDU59,OUT017,2658.849914843925
FDR03,OUT027,4520.110117626843
FDS49,OUT027,2540.8897409157926
FDD48,OUT010,202.42168443586377
NCF18,OUT017,3065.4904855410673
NCD43,OUT027,2875.2050873535836
NCD54,OUT018,2023.264218046695
FDY19,OUT010,241.7383316409681
NCY54,OUT017,2779.581939113412
NCL19,OUT018,2047.1604128635977
FDP23,OUT010,1808.081751405312
FDC26,OUT013,1870.3699901641207
FDR14,OUT010,-712.5108203854713
NCS41,OUT035,2971.278300336271
FDF41,OUT035,4004.373534539858
FDU34,OUT046,1890.3799377815308
DRH11,OUT046,818.9395481266929
FDM03,OUT013,1784.7843648766143
FDS31,OUT017,2957.6025765447916
FDJ20,OUT017,2041.4884324898176
FDV44,OUT027,4264.714559632194
FDG02,OUT049,3133.9673779860186
FDA09,OUT013,2955.595476280933
FDT04,OUT013,722.1280747717046
FDL58,OUT019,2587.985702869384
FDE52,OUT045,1451.015980762856
FDW12,OUT035,2437.528074937589
FDL51,OUT017,3485.1022509321456
NCY42,OUT027,3465.939924684997
FDR07,OUT017,1608.7760935054316
FDN40,OUT045,2386.067832924412
FDB35,OUT027,2733.33167272826
FDA22,OUT017,2683.452789347156
NCL06,OUT046,4006.080349300997
FDI35,OUT013,2948.1076000394264
NCW42,OUT045,3432.2508873880633
NCX06,OUT049,2970.6800780970343
FDC37,OUT027,2975.1170225374244
FDZ14,OUT018,1759.8198093963733
DRG49,OUT049,3992.791092013267
NCG06,OUT045,3972.202595328369
DRC36,OUT045,2733.2445192424743
FDV21,OUT019,391.30062041534507
FDB53,OUT046,2257.5877813059105
DRP47,OUT019,2360.8871378677804
FDA14,OUT013,2385.491051321507
DRC24,OUT035,2506.01677860774
FDW21,OUT018,1423.4271486939356
NCH29,OUT046,1438.2338245219203
FDU58,OUT013,3101.1360240152003
FDY27,OUT017,2869.5133395207813
FDV56,OUT035,1879.3493137738164
FDT59,OUT046,3537.1364612041334
FDB23,OUT046,3494.625319122307
FDR49,OUT045,727.2768213736886
FDB03,OUT010,2224.98070575774
FDN39,OUT045,2626.204331938017
FDX02,OUT027,4762.5893130823215
FDQ16,OUT027,2968.1241355141337
FDU35,OUT018,1365.9705307731456
NCT29,OUT013,2000.9211965537338
FDZ27,OUT046,699.1350258390828
FDN57,OUT017,2288.4571056602126
FDA03,OUT018,2120.431644089073
FDZ36,OUT045,2937.020592732342
NCU05,OUT013,1363.5999318937095
FDT39,OUT018,2208.935690832956
FDK60,OUT017,1651.0889229918885
FDZ25,OUT017,2775.158693792346
FDG12,OUT046,1886.98539010052
DRB01,OUT019,1418.3470334697931
NCC43,OUT027,5162.790607389838
FDX13,OUT019,2325.3945908395117
FDM22,OUT049,1056.3050776894715
FDJ03,OUT027,2087.1465152592473
FDU14,OUT018,3705.3604284065705
FDB33,OUT010,903.0707690447985
FDP27,OUT046,2912.5429763284574
FDO38,OUT010,-381.66001862031
FDE28,OUT027,4935.439450233342
FDO27,OUT035,1662.385898239485
DRL23,OUT027,2941.4666043887264
FDS28,OUT046,854.6046459666161
FDX24,OUT013,1569.3372463421006
FDZ02,OUT035,1683.3781233693317
FDL46,OUT045,1829.7413040945107
FDS60,OUT027,4072.6861122729797
NCO06,OUT017,589.2888146794448
FDO16,OUT035,1465.3054527667905
FDC60,OUT049,1587.7099607248892
FDA48,OUT018,3242.674017349447
FDZ36,OUT027,4228.0809751722745
FDK27,OUT045,1890.38862481752
FDW23,OUT018,422.2068749125808
FDM14,OUT018,1533.693138249746
FDM14,OUT013,1812.8222556322548
FDW60,OUT018,2624.1600939735704
FDE21,OUT013,1940.4877043966303
NCM42,OUT035,1823.533453059446
FDY59,OUT010,-109.75282412637625
DRI49,OUT049,1437.1835251094458
FDT28,OUT019,809.3044961900812
FDQ22,OUT018,435.1866863295156
FDR60,OUT049,1381.6215543994049
FDC50,OUT019,-75.99173744167467
FDV24,OUT013,2488.0875672243724
DRF48,OUT010,1343.4446724020245
FDQ47,OUT046,549.9237166587968
DRN36,OUT049,1692.0243784918548
NCY06,OUT035,2120.233844363192
FDE52,OUT035,1577.253837676185
NCB54,OUT045,1959.808688465443
NCF31,OUT035,2494.662643351727
FDJ08,OUT027,4241.951433705821
NCC07,OUT017,1729.0265059674293
NCD19,OUT027,2103.0336866522803
FDL46,OUT049,2043.910056691875
FDM20,OUT045,3842.5769906970645
NCI06,OUT010,1208.5273270636822
DRM11,OUT035,4164.455369255098
NCH07,OUT018,2256.1331245789493
FDS23,OUT013,2139.6459709581436
FDO49,OUT018,620.041903471049
FDS35,OUT049,1207.7892590395995
DRK39,OUT045,1278.5862885730376
DRI39,OUT049,1082.2221116361943
FDV04,OUT017,2595.9923668951
NCN14,OUT035,2958.306176035318
FDH08,OUT013,3725.062738265864
FDS20,OUT046,2796.4390011186697
FDV40,OUT049,1368.3350196236568
FDZ48,OUT010,144.8544777552063
FDS24,OUT027,2688.631196221204
FDK44,OUT049,2904.051421167829
FDS48,OUT045,2352.9200109228073
FDK26,OUT010,1373.4206100912074
FDD23,OUT045,2981.968351946126
NCH54,OUT017,2589.5598589754354
NCP14,OUT010,54.31727392911955
FDM60,OUT010,-923.2396931106522
FDV24,OUT017,2457.0975395052537
FDH08,OUT018,3380.5846533045683
FDS12,OUT027,3272.6784840841483
FDR39,OUT027,4099.712062254934
FDP12,OUT027,1895.7903497396874
DRF60,OUT027,4953.478602121328
FDC09,OUT035,1782.0272929744187
FDF50,OUT018,2906.6167218170417
FDG28,OUT035,3978.339719765002
NCE19,OUT017,939.9601639365333
NCM53,OUT010,83.6080320722873
NCN18,OUT049,1892.6030390881842
FDF32,OUT035,3244.023872915494
FDF11,OUT013,3891.098574493327
DRI59,OUT049,3681.8847077471883
NCG54,OUT035,2756.3696457274086
FDM44,OUT046,1526.9128390569463
FDT57,OUT018,3495.329507422785
FDV24,OUT046,2299.633375619275
FDI50,OUT019,2039.5990944929003
FDS09,OUT035,978.6771881221848
NCC31,OUT027,3671.767592726982
FDQ07,OUT019,1898.3396113756885
FDC22,OUT017,3123.339490029376
FDZ56,OUT046,2583.9957557194316
FDZ40,OUT019,-703.2259109153023
FDS46,OUT027,3169.1492172363223
DRD24,OUT045,2182.5500793690803
FDV45,OUT017,3047.3097531191756
FDL26,OUT045,2433.6809578330326
FDA56,OUT018,1735.2493198002007
FDN27,OUT046,1786.9282945036898
FDM20,OUT049,4007.044586007747
FDO16,OUT017,1395.1113815146205
FDL03,OUT035,3226.749417158103
FDE58,OUT046,1768.4710451024366
FDI02,OUT027,3070.875580354049
NCC55,OUT019,-965.6286200132654
FDR03,OUT018,3058.603397526485
FDB14,OUT017,1578.9067085513525
FDR45,OUT013,3877.120124782389
NCN07,OUT017,2101.091455401581
FDM51,OUT019,85.90988680076532
FDT52,OUT027,5138.649041798991
FDL26,OUT046,2347.8034021879384
NCZ42,OUT046,3641.1146158678384
DRI47,OUT019,707.1159404799207
FDW40,OUT013,2358.2826733317056
FDN34,OUT046,2617.7534939357474
FDS01,OUT035,2923.2100675604665
NCG55,OUT045,1792.8260865636703
FDC11,OUT035,1502.4036757036984
FDX35,OUT018,3377.367745813183
NCB06,OUT046,2415.7770376362087
FDR09,OUT019,2497.9917113652164
FDC53,OUT017,1614.66001237895
FDY45,OUT013,4099.473959743558
FDA22,OUT010,1047.0600370248185
FDE02,OUT035,1626.5871048130648
FDW21,OUT045,1618.6576705450375
FDV34,OUT046,1131.7066322898609
FDS59,OUT049,1928.911954787568
NCW17,OUT017,2068.587269046505
NCK54,OUT046,1746.5542648073842
FDG17,OUT019,2294.7739842948413
FDG35,OUT017,2834.5557208482237
FDD08,OUT010,-982.818685341007
NCO07,OUT017,3365.1768809721207
FDJ10,OUT010,672.4880656617775
FDW36,OUT017,1723.3734698092098
FDW21,OUT010,38.99852483103632
FDY19,OUT017,1940.7914513570909
DRE03,OUT013,843.4063003441356
NCC55,OUT049,761.3812631054047
FDH52,OUT010,-546.2181259898337
FDO09,OUT017,4256.020959625031
FDU43,OUT045,3772.1417905099543
FDX09,OUT010,1149.6453833173973
FDH40,OUT019,-215.51848150059016
FDW58,OUT017,1730.6765752252304
FDC47,OUT017,3637.565056127657
NCR41,OUT035,1589.7693435754409
DRG49,OUT035,3937.44909779728
FDC52,OUT027,3698.5987379723456
FDY13,OUT046,1109.5040603712634
FDY35,OUT013,850.0310342749003
FDI35,OUT017,2932.6924713335216
NCU18,OUT049,2367.9986645215877
FDY33,OUT018,2319.7140832527334
FDC15,OUT027,3736.8109487010097
FDU01,OUT049,3133.059140023124
NCU42,OUT046,2561.4788983746043
NCV29,OUT018,2557.8744117795754
NCY30,OUT017,2923.844764355441
FDQ46,OUT049,1937.5261339165208
FDG58,OUT027,3719.3179719830123
FDK33,OUT017,3423.52686806512
NCD07,OUT045,1784.0314644099853
NCX29,OUT027,3510.3763117055796
NCT42,OUT013,2410.687018818176
DRN59,OUT035,843.1162667246786
FDI44,OUT035,1373.9839182517685
FDA45,OUT049,2962.4309390510143
FDP31,OUT045,1064.677043672747
FDY01,OUT046,1772.300841005122
FDT09,OUT018,1923.1738265382896
DRH03,OUT027,2749.632974028573
FDA36,OUT018,2726.016337465498
NCF31,OUT017,2464.913753761943
FDG14,OUT049,2584.923136353512
FDG28,OUT027,5147.949364766818
FDU14,OUT049,4086.7889307288106
FDY47,OUT019,533.3261923883222
FDI56,OUT049,1599.7021508098233
DRD01,OUT013,1025.0564099561252
FDM22,OUT046,838.560172402839
FDH33,OUT013,782.0187615473487
DRZ24,OUT013,1952.7284433680993
NCQ38,OUT046,1560.3008090197345
FDO16,OUT027,2600.678854797894
FDU07,OUT027,3613.050227973419
NCB07,OUT013,3125.799603402885
FDU48,OUT045,2066.041375490098
NCM43,OUT045,2554.6524431119365
FDR31,OUT010,710.7359662896297
DRK49,OUT018,442.0448178392047
NCI30,OUT010,2207.113296278902
DRD60,OUT017,2906.399242368723
NCG19,OUT046,3579.415272671512
FDH12,OUT035,1779.637206112452
FDM32,OUT035,1573.539534057364
FDM27,OUT035,2607.3728806942277
NCU53,OUT027,3845.212827386683
NCQ18,OUT046,1461.3132279778501
FDS10,OUT013,2914.708835877756
FDB33,OUT027,3741.6393555788845
FDI12,OUT013,1498.5388680129809
NCW42,OUT013,3545.7162441113246
NCC06,OUT018,1794.1162985537953
FDW02,OUT017,2100.3526225684545
NCD43,OUT017,1702.3113198637639
FDM57,OUT018,1145.554341118068
FDA58,OUT017,3788.4109069011165
FDK56,OUT046,2826.985834218676
FDP52,OUT045,3643.645770902486
FDW20,OUT018,1748.0874033218902
FDS52,OUT049,1758.410247020949
NCT29,OUT018,1656.4341075598818
NCL54,OUT013,2847.598904868865
FDC05,OUT045,3130.3880856662076
FDF34,OUT035,3246.798126757554
FDP03,OUT027,3264.034141765849
FDD32,OUT010,-241.68987186352138
FDZ10,OUT045,1994.5073432423437
FDZ40,OUT035,989.528121279081
FDD51,OUT018,497.3613311095295
NCY30,OUT019,1225.4679656398284
FDP58,OUT017,3492.24776018744
FDV49,OUT017,4218.213415148779
FDY24,OUT019,-696.293275720183
NCO55,OUT017,1744.0668385515542
FDR13,OUT017,1956.7713165800124
FDS51,OUT017,1070.0045362461474
FDP26,OUT045,1637.445816110985
NCB54,OUT027,3275.884902344257
FDF32,OUT017,3170.705809563577
FDN31,OUT018,2761.146009315635
DRM48,OUT017,646.1624205995176
FDN20,OUT049,2824.7095733448723
DRL01,OUT046,3594.3319024456177
FDV56,OUT049,1900.4650099598384
DRH13,OUT027,2951.887309568793
FDA03,OUT017,2405.9335004403865
FDF47,OUT027,4771.984826310051
FDX32,OUT046,2261.6944277775715
FDX57,OUT049,1731.7307857232158
NCA30,OUT045,2946.145920415909
FDO49,OUT013,931.8489197453316
FDL04,OUT019,88.04953975457636
DRM48,OUT035,707.0435145968686
FDR16,OUT013,3465.912034503363
NCC19,OUT018,2789.021989949941
NCE42,OUT045,3649.3694508442713
FDY24,OUT017,992.7871747281915
FDH19,OUT049,2924.4265162819247
FDJ46,OUT013,2825.9692488966034
FDN45,OUT010,1916.517858775535
